"Content type";"Record Number";Acronym;Title;ID;Teaser;Programme;"Start date";"End date";Language;"Available languages";"Last updated";URL
project;105545;STARGRID;"STandard Analysis supporting smart eneRgy GRID development";318782;"The STARGRID project aims to obtain a comprehensive picture of Smart Grid standardisation procedures and to critically assess the large and complex standardisation landscape on Smart Grids at international level, including the industry new developments and initiatives in this...";FP7-ICT;2012-10-01;2015-01-31;en;en;"2016-04-01 21:21:58";http://cordis.europa.eu/project/rcn/105545_en.html
project;102559;ENLIGHTENMENT;"Exploring the neural coding in behaving animals by novel optogenetic, high-density microrecordings and computational approaches: Towards cognitive Brain-Computer Interfaces";284801;"In this project we aim to investigate the mechanisms involved in memory storage in the brain by a combination of advanced multisite, single unit neural activity monitoring, closed-loop patterned and cell specific activations, and computational techniques, that would allow dev...";FP7-ICT;2012-03-01;2015-08-31;en;en;"2016-04-01 23:11:59";http://cordis.europa.eu/project/rcn/102559_en.html
project;96598;ebbits;"Enabling business-based Internet of Things and Services - An Interoperability platform for a real-world populated Internet of Things domain";257852;"The ebbits project aims to develop architecture, technologies and processes, which allow businesses to semantically integrate the Internet of Things into mainstream enterprise systems and support interoperable real-world, on-line end-to-end business applications. It will prov...";FP7-ICT;2010-09-01;2015-02-28;en;en;"2016-04-01 19:31:34";http://cordis.europa.eu/project/rcn/96598_en.html
project;105190;DUPLO;"Full-Duplex Radios for Local Access";316369;"Future development of wireless communications networks will require radical improvements over the existing radio transmission and network solutions to support tremendous growth of data traffic in future networks in an energy-efficient manner.The project Full-Duplex Radios for...";FP7-ICT;2012-11-01;2015-05-31;en;en;"2016-04-01 23:31:04";http://cordis.europa.eu/project/rcn/105190_en.html
project;85390;EPILEPSIAE;"Evolving Platform for Improving Living Expectation of Patients Suffering from IctAl Events";211713;"Epilepsy is the commonest serious brain disorder in every country, and probably the most universal of all medical disorders. In Europe six million people currently have epilepsy and fifteen million will have epilepsy at some time of their lives. Currently nearly 30% of these ...";FP7-ICT;2008-01-01;2011-12-31;en;en;"2016-04-01 15:01:51";http://cordis.europa.eu/project/rcn/85390_en.html
project;97336;EFAA;"Experimental Functional Android Assistant (EFAA)";270490;"As the introduction of robots into our daily life becomes a reality, the social compatibility of such robots gains importance. In order to meaningfully interact with humans, robots must develop an advanced real-world social intelligence that includes novel perceptual, behavio...";FP7-ICT;2011-01-01;2013-12-31;en;en;"2016-04-01 13:11:44";http://cordis.europa.eu/project/rcn/97336_en.html
project;85455;CyberRat;"A Brain-Chip Interface for High-resolution Bi-directional Communication";216528;"We intend to create an innovative interface between a semiconductor chip or an ensemble of semiconductor chips and the brain of a living rat. Small CMOS chips featuring stimulation and recording sites integrated at high-density (1000 elements spaced only 5-10 micrometers) wil...";FP7-ICT;2008-01-01;2011-12-31;en;en;"2016-04-01 16:12:11";http://cordis.europa.eu/project/rcn/85455_en.html
project;85524;ROSATTE;"ROad Safety ATTributes exchange infrastructure in Europe";213467;"Up-to-date safety attributes are needed by road authorities and for Advanced Driver Assistance Systems (ADAS). ADAS applications are commercial products that can contribute significantly to achieving objectives for reducing the yearly number of road fatalities on European roa...";FP7-ICT;2008-01-01;2010-12-31;en;en;"2016-04-11 15:10:55";http://cordis.europa.eu/project/rcn/85524_en.html
project;99994;WiBRATE;"Wireless, Self-Powered Vibration Monitoring and Control for Complex Industrial Systems";289041;"Vibration is a daily occurrence in a wide range of machinery used in industries such as manufacturing, aerospace, petro-chemical and building and construction. One of the major problems of vibration is that it causes wear and tear which in many instances can lead to equipment...";FP7-ICT;2011-09-01;2015-02-28;en;en;"2016-04-01 22:42:03";http://cordis.europa.eu/project/rcn/99994_en.html
project;111129;CNTQC;"Curved nanomembranes for Topological Quantum Computation";618083;"Topological quantum computation, based on the encoding of quantum information in non-local degrees of freedom, provides a promising route for a working quantum computer not affected by quantum decoherence. A possible way of realizing this non-locality is to encode qubits into...";FP7-ICT;2014-06-01;2017-05-31;en;en;"2016-04-11 14:17:18";http://cordis.europa.eu/project/rcn/111129_en.html
project;85473;COJAK;"Further developing strategic cooperation with Japan and South Korea on ICT";216949;"The FP7 ICT work programme for 2007-2008 underlines the strategic interest of SandT cooperation with Japan and South Korea: several challenges and objectives specifically call for cooperation projects with these two countries.<br/><br/>In the last months, new developments hav...";FP7-ICT;2008-01-01;2009-07-31;en;en;"2016-04-11 15:30:38";http://cordis.europa.eu/project/rcn/85473_en.html
project;94368;SIEMPRE;"Social Interaction and Entrainment using Music PeRformance Experimentation";250026;"SIEMPRE develops research theoretical and methodological frameworks, computational models, and algorithms for the analysis of creative communication within groups of people, important also for future ICT (e.g. social media, on-line and mobile communities, web 2.0). Focus is o...";FP7-ICT;2010-05-01;2013-06-30;en;en;"2016-04-11 12:59:35";http://cordis.europa.eu/project/rcn/94368_en.html
project;104176;MUSE;"Machine Understanding for interactive StorytElling";296703;"The MUSE project will introduce a new way of exploring and understanding information by ""bringing text to life"" through 3D interactive storytelling. Taking as input natural language text like children's stories or medical patient education materials, MUSE will process the nat...";FP7-ICT;2012-09-01;2015-11-30;en;en;"2016-04-01 22:56:56";http://cordis.europa.eu/project/rcn/104176_en.html
project;87366;SemsorGrid4Env;"Semantic Sensor Grids for Rapid Application Development for Environmental Management";223913;"Sensor networks promise to bridge the gap that, for too long, has separated computing applications from the physical world that they model and in which they are ultimately embedded. Sensor networks are and will continue to be important in environmental management. However, ma...";FP7-ICT;2008-09-01;2011-08-31;en;en;"2016-04-01 22:29:30";http://cordis.europa.eu/project/rcn/87366_en.html
project;188908;PROSE;"Promoting Open Source in European Projects";318218;"Free/Libre/Open Source Software (FLOSS) is creating new R&D opportunities across Europe, particularly in an ICT context where projects require an adequate cooperation environment. Despite the numerous advantages of FLOSS as a cooperation model, however, most developed softwar...";FP7-ICT;2012-10-01;2014-11-30;en;en;"2016-04-01 22:41:37";http://cordis.europa.eu/project/rcn/188908_en.html
project;85312;REFLECT;"Responsive Flexible Collaborating Ambient";215893;"We are currently standing on the brink of a new era of computing systems: Moving on from desktop computers, computing intelligence will be woven into the ""fabric of everyday life"", seamlessly and near-invisibly pervading our environment, sensing our presence, mood, and intent...";FP7-ICT;2008-01-01;2011-03-31;en;en;"2016-04-01 14:05:50";http://cordis.europa.eu/project/rcn/85312_en.html
project;89800;ASSYST;"Action for the Science of complex SYtems for Socially intelligent icT";231710;"ASSYST will coordinate research around the call Science of complex systems for socially intelligent ICT (COSI-ICT) in the context of the wider science of complex systems (CS).<br/>ASSYST will make Complex Systems science and the potential of COSI-ICT better understood by scie...";FP7-ICT;2009-01-01;2012-03-31;en;en;"2016-04-08 23:39:15";http://cordis.europa.eu/project/rcn/89800_en.html
project;108702;4C;"Collaboration to Clarify the Cost of Curation";600471;"The Collaboration to Clarify the Costs of Curation (4C) project will help organisations across Europe to more effectively invest in digital curation and preservation. Making an investment inevitably involves a cost and existing research on cost modelling provides the starting...";FP7-ICT;2013-02-01;2015-01-31;en;en;"2016-04-01 17:18:21";http://cordis.europa.eu/project/rcn/108702_en.html
project;97338;ACTIVE;"Active Constraints Technologies for Ill-defined or Volatile Environments";270460;"The ACTIVE project exploits ICT and other engineering methods and technologies for the design and development of an integrated redundant robotic platform for neurosurgery. A light and agile redundant robotic cell with 20 degrees-of-freedom (DoFs) and an advanced processing un...";FP7-ICT;2011-04-01;2015-03-31;en;en;"2016-04-01 18:28:42";http://cordis.europa.eu/project/rcn/97338_en.html
project;85528;DEPLOY;"Industrial Deployment of Advanced System Engineering Methods for High Productivity and Dependability";214158;"The overall aim of the DEPLOY Project is to make major advances in engineering methods for dependable systems through the deployment of formal engineering methods. Formal engineering methods enable greater mastery of complexity than do traditional software engineering process...";FP7-ICT;2008-02-01;2012-04-30;en;en;"2016-04-01 15:07:18";http://cordis.europa.eu/project/rcn/85528_en.html
project;93825;"ENERGY WARDEN";"Design and real time energy sourcing decisions in buildings";246745;"ENERGY WARDEN (EW) addresses the optimisation of renewable energy technology (RET) deployment in the building domain. EW will develop and market the following products:<br/>SIMULATOR (EW-S): A simulator and modelling tool, including dynamic models for energy producing, storin...";FP7-ICT;2010-01-01;2013-06-30;en;en;"2016-04-01 17:46:31";http://cordis.europa.eu/project/rcn/93825_en.html
project;106784;BS4ICTRSRCH;"Testing the practice of Book Sprints as a new paradigm of collaborative writing for ICT researchers and innovators";323988;"The objective of this program is to test the relevancy of one innovative collaborative writing methodology, the Book Sprint, in the context of the composition of scientific papers and books in the field of ICT research and innovation, and to assess the benefits and shortcomin...";FP7-ICT;2013-03-01;2014-05-31;en;en;"2016-04-01 21:47:54";http://cordis.europa.eu/project/rcn/106784_en.html
project;97843;INTEGRATE;"Driving Excellence in Integrative Cancer Research through Innovative Biomedical Infrastructures";270253;"There is a strong need in biomedical research, especially in the case of complex heterogeneous diseases such as cancer, to achieve an all-comprising harmonization of efforts: To integrate the available data and knowledge in comprehensive models supported by interoperable infr...";FP7-ICT;2011-02-01;2014-10-31;en;en;"2016-04-09 01:35:47";http://cordis.europa.eu/project/rcn/97843_en.html
project;89455;STELLAR;"Sustaining Technology Enhanced Learning Large-scale multidisciplinary Research";231913;"STELLAR represents the effort of the leading institutions and projects in European TEL to unify our diverse TEL community. This Network of Excellence is motivated by the need for European research on Technology-Enhanced Learning (TEL) to build upon, synergize and extend the v...";FP7-ICT;2009-02-01;2012-05-31;en;en;"2016-04-08 18:15:48";http://cordis.europa.eu/project/rcn/89455_en.html
project;102146;X-Like;"Cross-lingual Knowledge Extraction";288342;"The goal of the X-LIKE project is to develop technology to monitor and aggregate knowledge that is currently spread across global mainstream and social media, and to enable cross-lingual services for publishers, media monitoring and business intelligence.In terms of research ...";FP7-ICT;2012-01-01;2014-12-31;en;en;"2016-04-05 12:02:28";http://cordis.europa.eu/project/rcn/102146_en.html
project;87274;NEARCTIS;"A Network of Excellence for Advanced Road cooperative traffic management in the Information Society";224272;"NEARCTIS (Network of Excellence: Advanced Road Cooperative Traffic management in the Information Society) is an academic network involving several of the main teams working on the field of traffic management and optimisation, with a particular focus on cooperative systems. Wi...";FP7-ICT;2008-07-01;2013-06-30;en;en;"2016-04-08 17:32:16";http://cordis.europa.eu/project/rcn/87274_en.html
project;191637;FERARI;"Flexible Event pRocessing for big dAta aRchItectures";619491;"Many of today's Big Data technologies were built on the tacit assumption of web-based systems processing human generated-data at Facebook or Google. Such data is typically unstructured and predominantly persistent. As a result, the focus to date has been on batch processing o...";FP7-ICT;2014-02-01;2017-01-31;en;en;"2016-06-21 22:58:47";http://cordis.europa.eu/project/rcn/191637_en.html
project;104481;ODIN;"Optimized electric Drivetrain by INtegration";314331;"One of the primary goals in the development of electric vehicles is to reduce the cost while ensuring performance and meeting automotive quality standards to reach market acceptance. System design of the electric power-train is based on existing components currently in differ...";FP7-ICT;2012-07-01;2016-12-31;en;en;"2016-04-09 01:35:05";http://cordis.europa.eu/project/rcn/104481_en.html
project;99441;TERRIFIC;"Towards Enhanced Integration of Design and Production in the Factory of the Future through Isogeometric Technologies";284981;"The project aims at significant improvement of the interoperability of computational tools for the design, analysis and optimization of functional products. An isogeometric approach is applied for selected manufacturing application areas (cars, trains, aircraft) and for compu...";FP7-ICT;2011-09-01;2014-08-31;en;en;"2016-04-08 20:23:27";http://cordis.europa.eu/project/rcn/99441_en.html
project;99511;APOS-EU;"Application Performance Optimisation and Scalability-EU";277481;"The objective of APOS-EU is to develop optimised versions of scientific and industrial codes which are scalable and portable across heterogeneous and homogeneous architectures. Codes will be chosen from the areas of seismic processing, magneto-hydrodynamics, percolation, mole...";FP7-ICT;2011-02-01;2013-01-31;en;en;"2016-04-08 23:12:19";http://cordis.europa.eu/project/rcn/99511_en.html
project;95898;PROMISE;"Participative Research labOratory  for Multimedia and Multilingual Information Systems Evaluation";258191;"Measuring is a key to scientific progress. This is particularly true for research concerning complex systems, whether natural or human-built. Multilingual and multimedia information systems are increasingly complex: they need to satisfy diverse user needs and support challeng...";FP7-ICT;2010-09-01;2013-08-31;en;en;"2016-04-08 18:23:09";http://cordis.europa.eu/project/rcn/95898_en.html
project;95557;PlanetData;PlanetData;257641;"PlanetData aims to establish a sustainable European community of researchers that supports organizations in exposing their data in new and useful ways. The ability to effectively and efficiently make sense out of the enormous amounts of data continuously published online, inc...";FP7-ICT;2010-10-01;2014-09-30;en;en;"2016-04-08 18:25:33";http://cordis.europa.eu/project/rcn/95557_en.html
project;107155;QALGO;"Quantum Algorithmics";600700;"We will study the algorithmic aspects of quantum information. Our goal is to find new algorithms for quantum computers and new quantum communication protocols that are more efficient than the classical protocols. We will pursue this goal in a number of different ways.<br/>Fir...";FP7-ICT;2013-05-01;2016-04-30;en;en;"2016-06-27 22:57:44";http://cordis.europa.eu/project/rcn/107155_en.html
project;105141;CUMULUS;"Certification infrastrUcture for MUlti-Layer cloUd Services";318580;"Cloud technology offers a powerful approach to the provision of infrastructure, platform and software services without incurring the considerable costs of owning, operating and maintaining the computational infrastructures required for this purpose.Despite its appeal from a c...";FP7-ICT;2012-10-01;2015-09-30;en;en;"2016-07-22 15:07:38";http://cordis.europa.eu/project/rcn/105141_en.html
brief;182011;;"Supercomputación más asequible para las pymes";;"La adquisición y el mantenimiento de un superordenador están fuera del alcance de la mayoría de las pymes, pero gracias al proyecto FORTISSIMO sí que pueden ya acceder de forma rentable y sencilla a servicios de computación de alto rendimiento con los que realizar simulaciones relevantes para su actividad.";FP7-ICT;;;es;de,en,es,fr,it,pl;"2016-05-05 16:11:18";http://cordis.europa.eu/result/rcn/182011_es.html
brief;182011;;"Making supercomputing affordable for SMEs";;"Buying and running a supercomputer is out of the reach of most SMEs. But now, thanks to the FORTISSIMO project, they have cost-effective and simple access to the required high-computing power for simulations relevant to their business.";FP7-ICT;;;en;de,en,es,fr,it,pl;"2016-05-05 16:11:15";http://cordis.europa.eu/result/rcn/182011_en.html
brief;182011;;"Rendre les superordinateurs financièrement accessibles aux PME";;"Pour la plupart des PME, l'achat et l'exploitation d'un superordinateur reste hors de prix. Aujourd'hui, grâce au projet FORTISSIMO, elles peuvent accéder facilement et pour un coût abordable à l'informatique à haute performance dont elles ont besoin pour procéder aux simulations demandées par leur activité.";FP7-ICT;;;fr;de,en,es,fr,it,pl;"2016-05-05 16:11:22";http://cordis.europa.eu/result/rcn/182011_fr.html
brief;182011;;"Superkomputery dostępne dla MŚP";;"Zakup oraz utrzymanie superkomputera jest poza zasięgiem większości firm z sektora MŚP. Obecnie dzięki projektowi FORTISSIMO firmy te uzyskały łatwy i opłacalny dostęp do wymaganej dużej mocy obliczeniowej na potrzeby symulacji biznesowych.";FP7-ICT;;;pl;de,en,es,fr,it,pl;"2016-05-05 16:11:29";http://cordis.europa.eu/result/rcn/182011_pl.html
brief;182011;;"Rendere il supercalcolo accessibile per le PMI";;"L’acquisto e il funzionamento di un supercomputer è fuori dalla portata della maggior parte delle PMI. Tuttavia, grazie al progetto FORTISSIMO, ora le PMI avranno un accesso economico e semplice alla potenza di calcolo elevata per svolgere le simulazioni relative alle loro attività.";FP7-ICT;;;it;de,en,es,fr,it,pl;"2016-05-05 16:11:26";http://cordis.europa.eu/result/rcn/182011_it.html
brief;182011;;"Wie Hochleistungsrechnen für KMU  erschwinglicher wird";;"Einen Supercomputer zu kaufen und zu betreiben, steht völlig außer der Reichweite der meisten KMU. Aber jetzt, dank des FORTISSIMO-Projekts, erhalten sie einen kostengünstigen und einfachen Zugang zu den erforderlichen hohen Rechnerleistungen für Simulationen, die für ihr Geschäft relevant sind.";FP7-ICT;;;de;de,en,es,fr,it,pl;"2016-05-05 16:11:09";http://cordis.europa.eu/result/rcn/182011_de.html
project;106905;PERICLES;"Promoting and Enhancing Reuse of Information throughout the Content Lifecycle taking account of Evolving Semantics";601138;"A new approach is needed to ensure that the digital objects created today are available and useful for future generations of users. As scientific, engineering, and media assets and their related metadata are generated across different lifecycle phases, in a continually evolvi...";FP7-ICT;2013-02-01;2017-01-31;en;en;"2016-04-01 19:36:02";http://cordis.europa.eu/project/rcn/106905_en.html
project;191629;ACTION-TV;"User InterACTION Aware Content Generation and Distribution for Next Generation Social TeleVision";611761;"ACTION-TV proposes an innovative mode of user interaction for broadcasting to relax the rigid and passive nature of present broadcasting ecosystems. It has two key aims: (i) a group of users can take part in TV shows providing a sense of immersion into the show and seamless e...";FP7-ICT;2014-01-01;2016-12-31;en;en;"2016-04-11 14:24:40";http://cordis.europa.eu/project/rcn/191629_en.html
project;110827;NoTremor;"Virtual, Physiological and Computational Neuromuscular Models for the Predictive Treatment of Parkinson's\nDisease";610391;"NoTremor aims to provide patient specific computational models of the coupled brain and neuromuscular systems that will be subsequently used to improve the quality of analysis, correlation (of novel and established indicators) and progression of Parkinson's disease. In partic...";FP7-ICT;2014-01-01;2016-12-31;en;en;"2016-04-01 22:14:50";http://cordis.europa.eu/project/rcn/110827_en.html
project;104129;GOSFEL;"GRAPHENE ON SILICON FREE ELECTRON LASER";296391;"The aim of this project is to demonstrate an entirely new type of compact laser source by exploiting the unique properties of graphene to realise a solid-state free electron laser. Free electron lasers (FELs) represent a radical alternative to con-ventional lasers as they do ...";FP7-ICT;2012-10-01;2016-04-30;en;en;"2016-04-11 14:26:37";http://cordis.europa.eu/project/rcn/104129_en.html
project;95578;TRIDEC;"Collaborative, Complex and Critical Decision-Support in Evolving Crises";258723;"TRIDEC focuses on new technologies for real-time intelligent information management in collaborative, complex critical decision processes in earth management. Key challenge is the construction of a communication infrastructure of interoperable services through which intellige...";FP7-ICT;2010-09-01;2013-10-31;en;en;"2016-04-01 23:47:26";http://cordis.europa.eu/project/rcn/95578_en.html
project;93576;COGNITO;"Cognitive Workflow Capturing and Rendering with On-Body Sensor Networks";248290;"The automatic capture, recognition and rendering of human sensory-motor activities represent essential technologies in many diverse applications, ranging from 3D virtual manuals through to training simulators and novel computer games. Although capture systems already exist on...";FP7-ICT;2010-01-01;2012-12-31;en;en;"2016-04-01 21:31:09";http://cordis.europa.eu/project/rcn/93576_en.html
project;89484;SmartProducts;"Proactive Knowledge for Smart Products";231204;"The project will develop the scientific and technological basis for the embedding of proactive knowledge into smart products that are able to communicate and co-operate with humans, other products and the environment. Proactive knowledge encompasses knowledge about the produc...";FP7-ICT;2009-02-01;2012-01-31;en;en;"2016-07-13 16:13:37";http://cordis.europa.eu/project/rcn/89484_en.html
project;87015;ICT-ENSURE;"European ICT Environmental Sustainability Research";224017;"The internationally organized scientific community ""Environmental Informatics"" proposes a support action. The super ordinate goal is to promote and extend the European exchange of knowledge and information on environmental issues for a sustainable environmental development ba...";FP7-ICT;2008-05-01;2010-04-30;en;en;"2016-07-13 16:14:22";http://cordis.europa.eu/project/rcn/87015_en.html
project;85340;PetaMedia;"PEer-to-peer TAgged MEDIA";216444;"In the Netherlands, Switzerland, UK, and Germany, national networks exist of collaborating excellent research groups in the areas of multimedia content analysis (MCA) and social and peer-to-peer (SP2P) networks. The Network of Excellence PetaMedia brings these four strong nat...";FP7-ICT;2008-03-01;2011-10-31;en;en;"2016-07-13 16:15:49";http://cordis.europa.eu/project/rcn/85340_en.html
project;106885;3D-PITOTI;"3D acquisition, processing and presentation of prehistoric European rock-art";600545;"There is ancient rock-art in most European countries and it is more common than cave art, with pictures and geometric shapes cut into rather than painted onto rock. This art exists in open-air surfaces exposed to the weather rather than inside caves. This wealth of Europe's c...";FP7-ICT;2013-03-01;2016-02-29;en;en;"2016-04-01 23:41:40";http://cordis.europa.eu/project/rcn/106885_en.html
brief;182986;;"Una nueva tecnología de escaneado permite reproducir arte rupestre en 3D";;"Para los legos en la materia, el arte prehistórico suele limitarse a las pinturas halladas en las cuevas. Sin embargo, los grabados rupestres constituyen otra forma de expresión artística visual al aire libre mucho más extendida y que se encuentra a merced de los fenómenos meteorológicos. El equipo de 3D-PITOTI se ha propuesto salvaguardar este patrimonio para las futuras generaciones. Desde 2013, desarrolla tecnologías de escaneado, procesamiento, reconstrucción y visualización en 3D de grabados rupestres.";FP7-ICT;;;es;de,en,es,fr,it,pl;"2016-07-12 17:48:52";http://cordis.europa.eu/result/rcn/182986_es.html
brief;182986;;"Une nouvelle technique de numérisation reproduit l'art rupestre en 3D";;"Pour le profane, l'art préhistorique correspond souvent aux peintures trouvées dans les grottes. Toutefois, l'art rupestre est une autre forme d'expression visuelle à l'air libre, plus répandue mais menacée par les caprices de la météorologie. L'équipe du projet 3D-PITOTI s'est fixé pour objectif de transmettre cet héritage aux générations futures. Depuis 2013, elle développe des techniques capables de numériser, traiter, reconstruire et visualiser l'art rupestre en 3D.";FP7-ICT;;;fr;de,en,es,fr,it,pl;"2016-07-12 17:48:56";http://cordis.europa.eu/result/rcn/182986_fr.html
brief;182986;;"Nowa technologia skanowania umożliwia reprodukcję dzieł sztuki naskalnej w trzech wymiarach";;"Laikom sztuka prehistoryczna kojarzy się często z malarstwem jaskiniowym. Jednak sztuka naskalna tworzona na wolnym powietrzu jest w rzeczywistości bardziej rozpowszechniona oraz bardziej narażona na działanie warunków atmosferycznych. Zespół projektu 3D-PITOTI postanowił dopilnować, aby dziedzictwo to mogło zostać zachowane dla przyszłych pokoleń. Od 2013 r. naukowcy opracowują technologie umożliwiające skanowanie, przetwarzanie, rekonstruowanie i wizualizowanie sztuki naskalnej w trzech wymiarach.";FP7-ICT;;;pl;de,en,es,fr,it,pl;"2016-07-12 17:49:04";http://cordis.europa.eu/result/rcn/182986_pl.html
brief;182986;;"Una nuova tecnologia di scansione riproduce l’arte rupestre in 3D";;"Per la gente comune, l’arte preistorica è spesso sinonimo di pittura parietale. L’arte rupestre rappresenta invece una forma di espressione visiva all’aperto più complessa presente un po’ ovunque e soggetta all’azione degli agenti atmosferici. Il team del progetto 3D-PITOTI si è prefissato l’obiettivo di preservare questo patrimonio per le generazioni future, sviluppando, sin dal 2013, una serie di tecnologie per la scansione, l’elaborazione, la ricostruzione e la visualizzazione dell’arte rupestre in 3D.";FP7-ICT;;;it;de,en,es,fr,it,pl;"2016-07-12 17:49:00";http://cordis.europa.eu/result/rcn/182986_it.html
brief;182986;;"Neue Scanner-Technologie für 3D-Reproduktionen von Felskunst";;"Laien stellen sich unter prähistorischer Kunst oft Höhlenmalereien vor. Die Felskunst stellt eine andere, verbreitetere visuelle Ausdrucksform dar, die durch ihre Lage im Freien oft von den Launen des Wetters bedroht ist. Das Team von 3D-PITOTI hat das Ziel sicherzustellen, dass dieses Erbe auch weiterhin an künftige Generationen weitergegeben wird. Seit 2013 befasst es sich mit der Entwicklung von Technologien, mit denen Felskunst dreidimensional (3D) gescannt, verarbeitet, rekonstruiert und visualisiert werden kann.";FP7-ICT;;;de;de,en,es,fr,it,pl;"2016-07-12 17:48:44";http://cordis.europa.eu/result/rcn/182986_de.html
brief;182985;;"Orientación en robots con sistemas cognitivos inspirados en el cerebro";;"¿Podría el cerebro humano servir como fuente de inspiración para una nueva generación de robots capaces de desplazarse por entornos complejos e impredecibles? El proyecto GRIDMAP está intentando descifrar estos misterios y convertirlos en una nueva generación de algoritmos para averiguar la respuesta.";FP7-ICT;;;es;de,en,es,fr,it,pl;"2016-07-12 17:48:18";http://cordis.europa.eu/result/rcn/182985_es.html
brief;182985;;"Brain-inspired navigation in robots";;"Could the human brain inspire a new generation of robots able to navigate in complex and unpredictable environments? The GRIDMAP project is trying to unravel its mysteries and translate them into a new generation of algorithms in order to find out.";FP7-ICT;;;en;de,en,es,fr,it,pl;"2016-07-12 17:48:12";http://cordis.europa.eu/result/rcn/182985_en.html
brief;182985;;"Une navigation pour les robots, inspirée par notre cerveau";;"Le cerveau humain pourrait-il inspirer une nouvelle génération de robots capables de naviguer dans des environnements complexes et imprévisibles? Le projet GRIDMAD tente de le découvrir en dévoilant ses mystères pour les traduire en une nouvelle génération d'algorithmes.";FP7-ICT;;;fr;de,en,es,fr,it,pl;"2016-07-12 17:48:33";http://cordis.europa.eu/result/rcn/182985_fr.html
